Company Name,State,Rating,Date,Time,Url
Torino Restaurant and Bar,MA 02601,6.3,7/28/20,6:00,https://onebite.app/restaurant/torino-restaurant-and-bar-hyannis-ma-b11be685/review/c92a7ab3-9825-4efc-9984-dc9a1a1ecb09
Pizza Barbone,MA 02601,6.8,7/27/20,6:00,https://onebite.app/restaurant/pizza-barbone-hyannis-ma-16981c7b/review/93eeb8c5-8e28-4f5b-b7ae-eefef3aae448
Palio Pizzeria,MA 02601,6.3,7/23/20,6:00,https://onebite.app/restaurant/palio-pizzeria-hyannis-ma-526532d2/review/02afaabd-6fe4-48f2-a9fd-14912cfffe0d
British Beer Company,MA 02601,6.8,7/22/20,6:00,https://onebite.app/restaurant/british-beer-company-hyannis-ma-66553dcc/review/23d2279e-2bc8-4b84-807f-05b0b1c2f64c
Crust,OH 44113,6.7,7/16/20,6:00,https://onebite.app/restaurant/crust-cleveland-oh-d23e293c/review/e86e2188-343a-4641-9b44-d1f4354fb5d1
Edison's Pizza Kitchen,OH 44113,5.1,7/15/20,6:00,https://onebite.app/restaurant/edisons-pizza-kitchen-cleveland-oh-cea944a5/review/7f3bd31d-cb65-47fc-b29c-3722a2ce417d
Vincenza's Pizza & Pasta,OH 44115,7.6,7/14/20,6:00,https://onebite.app/restaurant/vincenzas-pizza-and-pasta-cleveland-oh-40c42960/review/2ed65102-fb32-4d86-a922-89bf45eb6182
Il Rione,OH 44102,7.7,7/13/20,6:00,https://onebite.app/restaurant/il-rione-cleveland-oh-fa481190/review/17d7d11f-d23b-43f7-89d3-be08db64437d
Columbia Inn Restaurant,NJ 07045,8.7,7/10/20,6:00,https://onebite.app/restaurant/columbia-inn-restaurant-montville-nj-e2bea950/review/6d42eb35-c916-4496-9f5a-a8f122534d1b
Vince the Pizza Prince,PA 18505,7.5,7/9/20,6:00,https://onebite.app/restaurant/vince-the-pizza-prince-scranton-pa-6966b6ff/review/0ae333b0-c6e5-43c0-ad1a-e4fac7fde562
Foggy Bakery & BBQ,MA 02554,6.8,7/8/20,6:00,https://onebite.app/restaurant/foggy-bakery-and-bbq-nantucket-ma-97b89eb8/review/c39749d4-3052-4b2a-b3e9-91fdab90fc82
Alfredo's Pizza Cafe,PA 18505,7.4,7/7/20,6:00,https://onebite.app/restaurant/alfredos-pizza-cafe-scranton-pa-cd713d02/review/b57bc251-d9d5-4cb5-b902-ca64912d050f
Maroni's Pizza House,PA 18504,7.5,7/6/20,6:00,https://onebite.app/restaurant/maronis-pizza-house-scranton-pa-37cf8f82/review/7fa8b9cf-a57e-4f48-8208-f2e9d70346a6
Sabatini's Pizza Inc,PA 18643,7.9,7/3/20,6:00,https://onebite.app/restaurant/sabatinis-pizza-inc-exeter-pa-7ec1f60a/review/74363d5d-d1ae-4451-b0e9-d67f36199379
Gerry's Pizzeria,PA 18702,8.1,7/2/20,6:00,https://onebite.app/restaurant/gerrys-pizzeria-wilkes-barre-pa-a58bd8d3/review/02b996a5-2f4a-48ab-aacb-ce0d5184f76b
Shelley's Pizza,PA 18701,7.3,7/1/20,6:00,https://onebite.app/restaurant/shelleys-pizza-wilkes-barre-pa-bc43d42d/review/1ee59f46-7929-4205-bfea-07a39bb38df5
Angelo's Pizza,PA 18702,8.1,6/30/20,6:00,https://onebite.app/restaurant/angelos-pizza-wilkes-barre-pa-28200093/review/2ce7cb03-bb74-40d5-9e96-fb5c0ba89f2f
M & S Pizza II,NJ 07866,6.9,6/29/20,6:00,https://onebite.app/restaurant/m-and-s-pizza-ii-rockaway-township-nj-eb0a1358/review/f24583e1-87aa-4a3a-bcce-e2179db9ad9f
Vinnie's Pizzeria & Ristorante,NJ 07005,6.8,6/26/20,6:00,https://onebite.app/restaurant/vinnies-pizzeria-and-ristorante-boonton-nj-386d61de/review/a4555bc2-d76e-4008-a129-e52aedfb7475
Pasquale's Pizza,NJ 07005,6.5,6/25/20,6:00,https://onebite.app/restaurant/pasquales-pizza-boonton-nj-2b167691/review/00579e54-21fd-4ae4-9270-8eeb408a7118
Reservoir Tavern,NJ 07005,7.6,6/24/20,6:00,https://onebite.app/restaurant/reservoir-tavern-boonton-nj-c1894ae7/review/b850e2e4-7fb0-4ccb-9db8-b16b51e59ddd
Millie's Old World Meatballs & Pizza,NJ 07960,6.7,6/23/20,6:00,https://onebite.app/restaurant/millies-old-world-meatballs-and-pizza-morristown-nj-d889186b/review/20303082-be46-48a4-9973-e65a0a67acf2
Renzo's Cafe Pizzeria,FL 33496,7.5,6/22/20,6:00,https://onebite.app/restaurant/renzos-cafe-pizzeria-boca-raton-fl-53785968/review/82335415-9148-40af-8570-d94573eb541d
Nonna's,NJ 07932,7.7,6/21/20,12:0,https://onebite.app/restaurant/nonnas-florham-park-nj-1458955c/review/bb082c1a-3abf-4644-8d17-ee636eb36289
Brooklyn Boys Pizza & Pasta,FL 33434,6.8,6/19/20,6:00,https://onebite.app/restaurant/brooklyn-boys-pizza-and-pasta-boca-raton-fl-ed8a685a/review/5275fcdd-f986-4abf-83fd-135b11ba1c14
Pizza District,FL 33433,7.6,6/18/20,6:00,https://onebite.app/restaurant/pizza-district-boca-raton-fl-1beaf619/review/37e6f46f-29f8-4be1-8b48-d1b4cba4adb3
Tomasso's Pizza and Subs,FL 33486,7.3,6/17/20,6:00,https://onebite.app/restaurant/tomassos-pizza-and-subs-boca-raton-fl-4369d5e2/review/d8bbdc27-0ddb-4b47-a529-a0ab9714364c
Sicilian Oven,FL 33431,7.9,6/16/20,6:00,https://onebite.app/restaurant/sicilian-oven-boca-raton-fl-71edf231/review/3aff258b-b2ca-405d-a63d-02c23956d0e4
Nick's New Haven Style Pizzeria and Bar,FL 33431,7.7,6/15/20,6:00,https://onebite.app/restaurant/nicks-new-haven-style-pizzeria-and-bar-boca-raton-fl-d4bbce15/review/2015a73c-e657-4189-9ebb-dc85cc5a3515
Sazio,FL 33444,6.6,6/11/20,6:00,https://onebite.app/restaurant/sazio-delray-beach-fl-d5158602/review/766a4745-d132-44fc-9418-c8ffa1609015
Heritage,FL 33304,8.1,6/10/20,6:00,https://onebite.app/restaurant/heritage-fort-lauderdale-fl-305ce530/review/032e8a6c-005a-4064-aa9a-b5ec296b9cc8
Conte's Pizza,FL 33444,7.2,6/9/20,6:00,https://onebite.app/restaurant/contes-pizza-delray-beach-fl-0e24dda5/review/1f89e6c5-cf49-4c64-af2c-11f87dfdeb4e
Nick's Pizza,FL 33441,7.1,6/8/20,6:00,https://onebite.app/restaurant/nicks-pizza-deerfield-beach-fl-682acbac/review/7e4f397a-c520-4bed-b28a-0bc7462c680e
Pizza Time Ristorante,FL 33432,7.4,6/5/20,6:00,https://onebite.app/restaurant/pizza-time-ristorante-boca-raton-fl-ec420a66/review/8015fe53-ebb9-41d7-b02c-68fa0c3768cf
Pizza Craft Artisan Pizzeria,FL 33312,8.1,6/4/20,6:00,https://onebite.app/restaurant/pizza-craft-artisan-pizzeria-fort-lauderdale-fl-4892d456/review/808d35e5-f4af-4c2e-85f5-d456fbb3cd82
Tucci's Fire N Coal Pizza,FL 33432,8.1,6/3/20,6:00,https://onebite.app/restaurant/tuccis-fire-n-coal-pizza-boca-raton-fl-16c3868d/review/8fe87744-959e-4d2d-892d-9e2c5a01b51b
Franco & Vinny's,FL 33304,6.7,6/1/20,6:00,https://onebite.app/restaurant/franco-and-vinnys-fort-lauderdale-fl-bd079ba6/review/612ae256-a287-4eeb-b0c5-5c086d5b7ccd
Primanti Bros,FL 33304,5.3,5/28/20,6:00,https://onebite.app/restaurant/primanti-bros-fort-lauderdale-fl-099ce218/review/b52f6627-b2e0-434a-a56f-936008e1dfbd
Luigi's Coal Oven Pizza,FL 33301,7.8,5/27/20,6:00,https://onebite.app/restaurant/luigis-coal-oven-pizza-fort-lauderdale-fl-e1e8c57a/review/6da59164-4ebd-407d-8e3a-c497feca9607
Pizza Time Restaurant,NJ 07001,6.8,3/18/20,6:02,https://onebite.app/restaurant/pizza-time-restaurant-avenel-nj-7f8a1f86/review/bed1010b-2fe4-4a08-8739-22fdbc06fbf2
Nancy's Towne House,NJ 07065,8.8,3/17/20,6:00,https://onebite.app/restaurant/nancys-towne-house-rahway-nj-3091ce71/review/e387fbe3-3374-40a2-8b76-d6d98b7ee380
Frankie Feds,NJ 07728,6.8,3/16/20,6:00,https://onebite.app/restaurant/frankie-feds-freehold-nj-17bdec87/review/25e2d2c0-7d94-406f-b75b-4b335ca9137d
Romeo's,NJ 07728,7.4,3/13/20,6:00,https://onebite.app/restaurant/romeos-freehold-nj-cc2e5fe8/review/157704fd-0d73-42ec-b2c4-5745b4278d72
Dusal's Italian Restaurant,NJ 07728,7.2,3/12/20,6:00,https://onebite.app/restaurant/dusals-italian-restaurant-freehold-nj-41983920/review/4fe810f6-fc71-4d07-bce4-ac76161e1a8a
Federici's Family Restaurant,NJ 07728,8.8,3/11/20,6:00,https://onebite.app/restaurant/federicis-family-restaurant-freehold-nj-465344f5/review/18a96e01-4efe-437b-bd79-d2f431d175fb
Margari Pizza,NY 10022,6.3,3/10/20,6:00,https://onebite.app/restaurant/margari-pizza-new-york-ny-5a5eaace/review/3f8a2ace-37ea-414a-83ad-6d2fb61a6777
Joe & Pat's Pizzeria,NY 10314,8.6,3/9/20,6:00,https://onebite.app/restaurant/joe-and-pats-pizzeria-staten-island-ny-95a7ab01/review/b4748cd0-f403-4faf-a8c1-cb2747e428b4
Round Pie Pizza Company,NY 10314,7.8,3/6/20,6:00,https://onebite.app/restaurant/round-pie-pizza-company-staten-island-ny-668dbfe5/review/a391e4dd-2162-43b5-b1fb-b8ca9587280a
Pizzeria Giove,NY 10306,8.1,3/5/20,6:00,https://onebite.app/restaurant/pizzeria-giove-staten-island-ny-40c2f765/review/7a6d358d-fa3c-4529-bfd9-1e5841240df6
Frank & Danny's Pizzeria,NY 10312,7.6,3/4/20,6:00,https://onebite.app/restaurant/frank-and-dannys-pizzeria-new-york-ny-91c8ddf7/review/d62b485f-05b7-4694-b6bf-6fccc808f225
Villa Monte Restaurant,NY 10312,6.7,3/3/20,6:00,https://onebite.app/restaurant/villa-monte-restaurant-staten-island-ny-41fc7aca/review/10fcf00d-542f-470c-80ac-0a19036650c5
T's Pizza Kitchen,CT 06902,5.9,3/2/20,6:00,https://onebite.app/restaurant/ts-pizza-kitchen-stamford-ct-a77eadc7/review/4bd8dbbe-2ca8-4779-b721-056576cdea9a
Belltown Pizza,CT 06905,6.9,2/28/20,6:00,https://onebite.app/restaurant/belltown-pizza-stamford-ct-d21fd9d7/review/e2b2feca-fadb-437e-85cf-26efeefd6244
Hope Pizza Restaurant,CT 06906,6.5,2/27/20,6:00,https://onebite.app/restaurant/hope-pizza-restaurant-stamford-ct-69f8e247/review/ba444380-dc47-4c74-9ce6-24eb40caea69
Remo's,CT 06901,7.4,2/26/20,6:05,https://onebite.app/restaurant/remos-stamford-ct-b545594f/review/29eebf57-12ba-4fa9-b4fe-7d2d7d9a2f70
Fresco By Scotto,NY 10022,7.9,2/25/20,6:00,https://onebite.app/restaurant/fresco-by-scotto-new-york-ny-3ae59e90/review/cf377f1b-7e50-4c4e-943b-872305fddf20
Pizza Brain,PA 19125,6.8,2/24/20,6:00,https://onebite.app/restaurant/pizza-brain-philadelphia-pa-85d6bb38/review/e2d82547-27b4-4af6-9613-5ccfd4371294
Sir Pizza,FL 33149,7.2,2/21/20,11:0,https://onebite.app/restaurant/sir-pizza-key-biscayne-fl-9864bcae/review/5accbede-6927-49f4-ae69-d280eb3f104d
Strong's Brick Oven Pizzeria,IN 47025,6.7,2/20/20,11:0,https://onebite.app/restaurant/strongs-brick-oven-pizzeria-lawrenceburg-in-266cee62/review/d3c1de55-9af6-4d75-a5ab-e60d75c7906f
PizzaPapalis of Greektown,MI 48226,7.6,2/19/20,6:00,https://onebite.app/restaurant/pizzapapalis-of-greektown-detroit-mi-0853d355/review/e2cef158-bb5d-4e77-baf5-eee923249206
Giuseppe's Steel City Pizza,FL 32129,7.3,2/17/20,11:0,https://onebite.app/restaurant/giuseppes-steel-city-pizza-port-orange-fl-6412652c/review/a854f7c1-96e5-4d31-81b4-e465032d82d2
Pete's Pizza,FL 32114,7.6,2/16/20,12:0,https://onebite.app/restaurant/petes-pizza-daytona-beach-fl-cda5c3eb/review/4a5ac8db-9e7c-44a9-a2c5-cbd78b02e79f
Brooklyn Square Pizza,NJ 08527,8.9,2/13/20,11:0,https://onebite.app/restaurant/brooklyn-square-pizza-jackson-nj-55c92b97/review/ddef4953-305a-41ba-a94e-f877957c8537
Pete & Elda's Bar / Carmen's Pizzeria,NJ 07753,8.1,2/12/20,11:0,https://onebite.app/restaurant/pete-and-eldas-bar-carmens-pizzeria-neptune-city-nj-5652ec50/review/c69a10ea-8a54-407a-bb6c-0a68c4464cde
Amano Pizza,NJ 08879,7.9,2/11/20,6:00,https://onebite.app/restaurant/amano-pizza-south-amboy-nj-951f8426/review/9aaf2252-c362-4450-a9b8-50d407d51964
Napoli Pizza & Pasta,NY 11106,7.5,2/10/20,11:0,https://onebite.app/restaurant/napoli-pizza-and-pasta-astoria-ny-b05d1df6/review/faadef9a-25f7-44ad-85db-b91c66ee4366
Grand Avenue Pizza,NY 11103,7.9,2/7/20,11:0,https://onebite.app/restaurant/grand-avenue-pizza-astoria-ny-971f14a0/review/bed7b4d2-78a7-4833-804b-7de5745e0409
Rose & Joe's Italian Bakery,NY 11105,6.8,2/6/20,11:0,https://onebite.app/restaurant/rose-and-joes-italian-bakery-astoria-ny-fd0f767c/review/9f561eb7-e8f8-43c6-b9e8-7cb1b8f331d8
Rosario's,NY 11105,7.7,2/5/20,6:00,https://onebite.app/restaurant/rosarios-astoria-ny-a947046e/review/25699957-6b4b-44ed-9e56-44c5a4dbcf98
Spris,FL 33139,6.3,2/4/20,6:00,https://onebite.app/restaurant/spris-miami-beach-fl-6a351210/review/4ea066c5-70d2-453f-aaf3-d82c26e7e5be
Grafa Pizza,FL 33139,7.1,2/3/20,6:00,https://onebite.app/restaurant/grafa-pizza-miami-beach-fl-6843f8dc/review/d951de36-99bd-40cc-b82e-fa4ebee8f7bb
Pizza Tropical,FL 33127,7.3,1/31/20,6:00,https://onebite.app/restaurant/pizza-tropical-miami-fl-1770f9f8/review/a5ab9d0b-7e80-4cfb-8ec8-d0f0ffd49a7c
Mom's New York Pizza,FL 33139,4.3,1/30/20,11:0,https://onebite.app/restaurant/moms-new-york-pizza-miami-beach-fl-c6a22e54/review/226c1c1a-2afa-4972-8ea2-80e1f9b0f7c1
La Leggenda Pizzeria,FL 33139,7.2,1/29/20,11:0,https://onebite.app/restaurant/la-leggenda-pizzeria-miami-beach-fl-30d9864d/review/0964f765-1e08-4db9-8bcd-80af82cefc40
Piola - Miami Beach,FL 33139,6.1,1/28/20,11:0,https://onebite.app/restaurant/piola-miami-beach-miami-beach-fl-78fa8cf0/review/b56a38d7-ba1c-4ca9-ba46-a30929a176e2
Blocks Pizza Deli,FL 33139,8.0,1/27/20,11:0,https://onebite.app/restaurant/blocks-pizza-deli-miami-beach-fl-39643541/review/780bdb6a-8c80-4276-b9dd-a82fc071a534
Hi-Class Pizza,NY 11426,7.4,1/24/20,11:0,https://onebite.app/restaurant/hiclass-pizza-bellerose-ny-1485d69a/review/38744b75-ca46-4c59-b33d-bbab2612c1ad
Vaccaro's Pizza,NY 11001,7.8,1/23/20,6:00,https://onebite.app/restaurant/vaccaros-pizza-floral-park-ny-1ccfe013/review/7d509c8a-dd7d-4a02-869a-4dcdc76af619
Village Pizzeria,NY 11001,6.7,1/22/20,11:0,https://onebite.app/restaurant/village-pizzeria-floral-park-ny-38b47cdb/review/27d810cb-9365-43e2-9291-0a8d6f9cd0c0
Eddie's Pizza,NY 11040,7.8,1/21/20,6:00,https://onebite.app/restaurant/eddies-pizza-new-hyde-park-ny-2df81a98/review/f1dc7bc4-6970-43f0-b6bb-2df88215a0b7
Square Pizza,NY 10002,6.5,1/20/20,11:0,https://onebite.app/restaurant/square-pizza-new-york-ny-478ea0d1/review/566e2521-3376-44b4-acf3-a7229b4509bb
Giovanni's Pizzeria & Restaurant,NJ 07030,6.7,1/17/20,11:0,https://onebite.app/restaurant/giovannis-pizzeria-and-restaurant-hoboken-nj-09d221ce/review/2f4f3648-e82a-415b-b22d-7f092e0508df
Tenth Street Pasta & Pizza,NJ 07030,8.6,1/16/20,6:00,https://onebite.app/restaurant/tenth-street-pasta-and-pizza-hoboken-nj-ee334b65/review/c8efef72-f841-4b85-ab34-3de22b004468
The Brick Fire Baked Pizza,NJ 07030,7.3,1/15/20,11:0,https://onebite.app/restaurant/the-brick-fire-baked-pizza-hoboken-nj-6b3b6079/review/a94180fa-aa71-4f93-a309-439dfbedfcd9
Campania Coal Fired Pizza,NY 11209,7.3,1/14/20,11:0,https://onebite.app/restaurant/campania-coal-fired-pizza-new-york-ny-9c4c0827/review/d07bb854-4cf9-4908-84b7-5ea5efdfc9de
Norm's Pizza,NY 11201,7.6,1/13/20,6:00,https://onebite.app/restaurant/norms-pizza-brooklyn-ny-a744833b/review/06d095fd-4944-4b7a-b787-c5013bcf20e1
Grandma's Original Pizza,NY 11209,7.2,1/10/20,11:0,https://onebite.app/restaurant/grandmas-original-pizza-brooklyn-ny-40a0fe3e/review/8f2dee2a-aa92-4392-a7d8-e9f49e35324c
Krispy Pizza - Brooklyn,NY 11228,7.8,1/9/20,11:0,https://onebite.app/restaurant/krispy-pizza-brooklyn-brooklyn-ny-66ba4b44/review/fd1415f6-3d44-4c0a-8a0a-a5747d2efa80
Gino's Restaurant,NY 11209,7.6,1/8/20,6:00,https://onebite.app/restaurant/ginos-restaurant-brooklyn-ny-fd65b06f/review/a188edde-9b30-4d7e-9528-5e0839baae4f
Elegante Pizzeria,NY 11209,7.4,1/7/20,11:0,https://onebite.app/restaurant/elegante-pizzeria-brooklyn-ny-928eed37/review/13dfa1ae-bb5b-4bd0-847e-2e643feff2b7
Hell’s Kitchen Pizza,NY 10001,1.9,1/6/20,11:0,https://onebite.app/restaurant/hells-kitchen-pizza-new-york-ny-1a4e5548/review/5ef446e8-9b3b-46fb-94aa-e2a9b9d4b6d6
Casola's Pizzeria & Sub Shop,FL 33145,6.3,1/3/20,11:0,https://onebite.app/restaurant/casolas-pizzeria-and-sub-shop-miami-fl-a9696707/review/54a9b163-08e5-49e3-99a5-4d6aff316a38
Anthony's,CT 06795,6.9,1/2/20,6:00,https://onebite.app/restaurant/anthonys-watertown-ct-505e9256/review/140b4414-64b4-414e-a06d-dc05ca7611e6
Lenny's Pizza,FL 33140,6.1,12/30/19,11:0,https://onebite.app/restaurant/lennys-pizza-miami-beach-fl-59341140/review/0fd65174-0877-4b73-98b7-56acee7d50ba
Fino Wood Fired Pizza & Bar,CT 06795,6.7,12/27/19,11:0,https://onebite.app/restaurant/fino-wood-fired-pizza-and-bar-watertown-ct-994f7195/review/874fff40-3516-44be-9aa9-9337e071d130
Vinny's Restaurant & Pizzeria,CT 06770,6.8,12/26/19,6:00,https://onebite.app/restaurant/vinnys-restaurant-and-pizzeria-naugatuck-ct-1e846144/review/b4453f3c-30f6-4652-91a5-db8efb4c054a
Mike's Pizza Palace,CT 06770,6.6,12/25/19,11:0,https://onebite.app/restaurant/mikes-pizza-palace-naugatuck-ct-e6fe8f54/review/3c58a03f-4496-42e4-bc97-68d035071ef5
John's Pizza Restaurant,CT 06770,7.2,12/24/19,6:00,https://onebite.app/restaurant/johns-pizza-restaurant-naugatuck-ct-c8d9051f/review/8461c9a8-e81b-4804-a411-6620055300bc
Vincenzo's Pizzeria,CT 06708,7.5,12/23/19,6:00,https://onebite.app/restaurant/vincenzos-pizzeria-waterbury-ct-9de55001/review/3f7d385e-6173-4371-a030-f52bd760b9dc
Domenick & Pia Pizzeria,CT 06702,8.1,12/20/19,6:00,https://onebite.app/restaurant/domenick-and-pia-pizzeria-waterbury-ct-7dbd188d/review/cc516a46-7010-4a72-b5c2-2cb38bf2f6b3
Jet's Pizza,NY 10011,7.4,12/19/19,11:0,https://onebite.app/restaurant/jets-pizza-new-york-ny-157fa9c8/review/9c54bea9-910e-4536-9eaf-a7def96e60b4
Salt & Pepper,NY 10001,4.8,12/18/19,11:0,https://onebite.app/restaurant/salt-and-pepper-new-york-ny-1d05d089/review/b52adc53-b52d-4bd7-be20-bed4681a8282
Little Italy Pizza,NY 10001,6.1,12/17/19,6:00,https://onebite.app/restaurant/little-italy-pizza-new-york-ny-50b49763/review/0a907813-bd5d-4da6-95c7-f1fcdbe69aa3
Square Pizza & Chicken,NY 10036,2.2,12/16/19,6:00,https://onebite.app/restaurant/square-pizza-and-chicken-new-york-ny-b3438384/review/0e857f3b-9964-4c30-92ec-6574e533f893
John's Pizzeria,NJ 07302,7.6,12/14/19,12:2,https://onebite.app/restaurant/johns-pizzeria-jersey-city-nj-2302c157/review/280de433-4362-4595-bd90-e73685f9ddb6
Porta,NJ 07302,7.1,12/12/19,11:0,https://onebite.app/restaurant/porta-jersey-city-nj-6fdadc2e/review/25c76d0a-1ee5-4cce-842d-448c2d693c7d
Razza Pizza Artigianale,NJ 07302,8.1,12/11/19,6:00,https://onebite.app/restaurant/razza-pizza-artigianale-jersey-city-nj-e254e8ce/review/db4ecffc-ce1c-47da-9fe8-ac6150fcd5f1
DC Pie - Brickell,FL 33131,7.1,12/10/19,6:00,https://onebite.app/restaurant/dc-pie-brickell-miami-fl-ad58934b/review/220cf193-1e5c-4f1d-9751-389f9ddff855
Andiamo,FL 33137,6.8,12/9/19,6:00,https://onebite.app/restaurant/andiamo-miami-fl-09b6e91b/review/08437bbc-d4cd-4973-8b00-b2c574e18813
Pizza Bar,FL 33139,6.1,12/7/19,5:00,https://onebite.app/restaurant/pizza-bar-miami-beach-fl-7e275e9f/review/99b99061-fd0b-4eda-84c7-8c55dad52fd5
Pizza Tree,MO 65201,6.6,12/6/19,6:00,https://onebite.app/restaurant/pizza-tree-columbia-mo-88850dcc/review/f8bf8dc3-ce5b-41c3-b9c3-cf5b0519ec0e
Shakespeare's Pizza - Downtown,MO 65201,6.7,12/5/19,6:00,https://onebite.app/restaurant/shakespeares-pizza-downtown-columbia-mo-928f3550/review/f0721089-9a0a-48e8-a596-db639dba09c4
Flavors of Italy Bistro,NY 10001,5.4,12/4/19,6:00,https://onebite.app/restaurant/flavors-of-italy-bistro-new-york-ny-6f03f0ce/review/4e936cf2-a2e6-4ee2-97ad-5bbff55bf81a
Tommy's Pizza,RI 02908,7.2,12/3/19,6:00,https://onebite.app/restaurant/tommys-pizza-providence-ri-3c89b564/review/07ef6402-70b6-4ea0-ac6b-73f2c28270d7
Providence Coal Fired Pizza,RI 02903,7.4,12/2/19,6:00,https://onebite.app/restaurant/providence-coal-fired-pizza-providence-ri-1d6bd3be/review/7fd957f3-4d75-417d-bacf-fff4128d05fc
Tony D's Pizza,NJ 07006,7.9,11/29/19,6:00,https://onebite.app/restaurant/tony-ds-pizza-caldwell-nj-70bd3067/review/f8e9fa08-7f2c-4e1d-a239-9d57e3eab514
Al Forno Restaurant,RI 02903,7.2,11/27/19,6:00,https://onebite.app/restaurant/al-forno-restaurant-providence-ri-01051cd5/review/2785ff14-c316-4260-b1a3-88f45e51fa7e
Angeloni's Restaurant & Pizzeria,NJ 07006,8.8,11/27/19,6:00,https://onebite.app/restaurant/angelonis-restaurant-and-pizzeria-caldwell-nj-857723ed/review/98aec7d3-daa4-4c49-a77c-9781875fb672
Fellini Pizzeria,RI 02903,7.1,11/26/19,6:00,https://onebite.app/restaurant/fellini-pizzeria-providence-ri-d2672f24/review/01803b5f-59ed-4007-903b-fd76cce5ff14
Federal Hill Pizza Providence,RI 02908,6.7,11/25/19,6:00,https://onebite.app/restaurant/federal-hill-pizza-providence-providence-ri-65bc6b2c/review/e71009b0-0c28-49f0-8868-8319acd67fa6
Antonio's Pizza,RI 02906,5.9,11/22/19,6:00,https://onebite.app/restaurant/antonios-pizza-providence-ri-61ce7eb2/review/bb5ae0bc-51a0-4edb-8868-154b1e9ca0b2
Caserta Pizzeria,RI 02903,7.4,11/21/19,6:00,https://onebite.app/restaurant/caserta-pizzeria-providence-ri-2b1d1011/review/acc5f596-19f7-4a17-bd84-623f0ab1ea52
DOUGH By Licastri,NY 10304,7.4,11/20/19,6:00,https://onebite.app/restaurant/dough-by-licastri-staten-island-ny-f83e95cf/review/2a99183a-2a32-452c-9821-460b417bdb8f
Nunzio's Pizzeria & Restaurant,NY 10306,7.9,11/19/19,6:00,https://onebite.app/restaurant/nunzios-pizzeria-and-restaurant-staten-island-ny-687ac7eb/review/b055212b-800d-426e-9853-47c13304feb9
Lincoln Financial Field,PA 19148,1.2,11/18/19,6:00,https://onebite.app/restaurant/lincoln-financial-field-philadelphia-pa-9c521912/review/816a04f3-57e2-4060-b5a5-89316abd6ea4
De Lorenzo's Tomato Pies,NJ 08691,9.2,11/15/19,6:00,https://onebite.app/restaurant/de-lorenzos-tomato-pies-robbinsville-nj-cd5402c8/review/9bfa67f5-e697-40ec-bcb7-b114dcf43a5c
